..\rawdata\ajf_ToolbarResearch_C201605201535.txt
,0.87300
,0.43700
total,1.31000
grandtotal,23.94700
tooltip totals
Add Image
,0.70200
total,0.70200
Add Boundary
,0.26500
,1.49700
,0.26500
total,2.02700
Add Link
,0.62400
total,0.62400
Align Left
,0.59300
total,0.59300
Add Element
,0.79600
,0.57700
,0.37500
total,1.74800
Add Note
,0.46800
total,0.46800
grandtotal,6.16200
..\rawdata\xfx_ToolbarResearch_E201605221427.txt
total runtime,96.25300
tooltip totals
Align Top
,0.39000
,0.17200
,0.00000
total,0.56200
Align Right
,0.71800
,0.67100
,0.26500
,0.39000
,0.42100
total,2.46500
Add Image
,0.35900
,0.14100
,0.54600
,0.34300
,0.26500
total,1.65400
Add Boundary
,0.00000
,0.53000
,0.98300
total,1.51300
Add Link
,0.56200
,0.84200
,0.29700
total,1.70100
Align Bottom
,0.09300
,0.14100
,1.56000
,0.07800
,0.71700
,0.46800
total,3.05700
Align Left
,0.40600
,0.25000
,0.10900
,1.59100
total,2.35600
Add Element
,2.29400
,0.00000
,0.87300
,0.35900
,0.32800
,0.43700
total,4.29100
Add Note
,0.26500
,1.32600
,0.35800
total,1.94900
grandtotal,19.54800
..\rawdata\hel_ToolbarResearch_C201605221500.txt
total runtime,105.37500
hover totals
Add Line
,0.04900
,1.31200
,1.66200
,0.01700
total,3.04000
Align Top
,0.01700
,0.01700
,1.49500
,0.01700
,0.01700
total,1.56300
Add Note
,2.45600
,0.06700
,0.01700
,0.03400
,1.49400
,0.01500
total,4.08300
Align Right
,0.14900
total,0.14900
Add Image
,0.24800
,0.33300
,1.52700
,0.01600
,1.51200
total,3.63600
Add Boundary
,1.41100
,0.24800
,0.15000
,0.05000
,2.20800
total,4.06700
Add Element
,1.47700
,0.16700
,1.14700
,0.74800
,0.08300
,0.63100
,1.37900
,0.01800
,0.14900
,1.52800
,0.29900
,1.47700
,0.01600
total,9.11900
Align Left
,0.89500
,0.01600
,0.01700
,1.26200
total,2.19000
Add Link
,1.52800
,0.03300
,1.47900
total,3.04000
Add Relationship
,0.03300
,0.06700
,1.74400
,0.01600
,0.23200
total,2.09200
grandtotal,32.97900
tooltip totals
Add Line
,0.63800
total,0.63800
Align Top
,0.47200
total,0.47200
Add Note
,0.46200
,0.47100
total,0.93300
Add Image
,0.50400
,0.48800
total,0.99200
Add Boundary
,0.38900
,0.44000
total,0.82900
Add Element
,0.45400
,0.50300
,0.45400
total,1.41100
Add Link
,0.50500
,0.45500
total,0.96000
Add Relationship
,0.72100
total,0.72100
grandtotal,6.95600
..\rawdata\ihf_ToolbarResearch_E201605221514.txt
total runtime,79.66800
tooltip totals
Add Line
,0.09900
,0.02100
,0.46400
,0.11600
,0.09900
,0.33100
total,1.13000
Align Top
,0.96300
total,0.96300
Add Note
,0.34800
,0.97900
,0.71300
total,2.04000
Align Right
,0.23200
total,0.23200
Add Relationship
,0.19800
,0.02200
,0.61400
,0.08200
,0.38100
total,1.29700
Add Boundary
,0.86300
,0.86200
,0.01500
,0.06600
,0.54700
,0.19800
,0.86300
,0.01600
total,3.43000
Add Element
,0.01800
,0.51400
,0.01700
,0.48100
,0.24900
,0.84600
,0.81300
,0.01500
,0.01700
,0.18200
,0.36500
,0.03200
,0.33100
,0.06500
total,3.94500
Align Left
,3.78500
total,3.78500
Add Link
,0.53000
,0.16500
,0.08300
,0.66400
,0.34800
total,1.79000
Add Image
,0.03300
,0.01700
,0.29900
,0.01500
,0.21500
,0.16500
,0.54700
,0.01600
,0.58000
total,1.88700
grandtotal,20.49900
